"","bmigr","sub","sex","x","p1","p2.3","p3","p5","p10","p16","p20","p25","p50","p75","p80","p84","p90","p95","p97","p99"
"33",1,"S","W",12,-10.46,-7.92,-7.11,-5.58,-3.56,-2.23,-1.61,-1.01,0.739999999999998,2.5,3.09,3.7,5,6.98,8.46,11.74
"42",1,"S","W",13,-10.24,-7.71,-6.91,-5.38,-3.34,-2,-1.37,-0.760000000000002,1.07,2.88,3.49,4.11,5.43,7.41,8.9,12.14
"52",1,"S","W",14,-10.01,-7.49,-6.69,-5.17,-3.12,-1.76,-1.13,-0.5,1.4,3.28,3.9,4.53,5.86,7.85,9.33,12.53
"62",1,"S","W",15,-9.76,-7.27,-6.47,-4.95,-2.89,-1.52,-0.870000000000001,-0.23,1.73,3.68,4.32,4.95,6.3,8.29,9.76,12.94
"72",1,"S","W",16,-9.51,-7.04,-6.25,-4.72,-2.66,-1.27,-0.620000000000001,0.0399999999999991,2.07,4.09,4.74,5.38,6.74,8.74,10.21,13.35
"82",1,"S","W",17,-9.25,-6.8,-6.01,-4.49,-2.42,-1.02,-0.350000000000001,0.32,2.42,4.5,5.16,5.82,7.19,9.2,10.66,13.77
"92",1,"S","W",18,-8.98,-6.55,-5.76,-4.25,-2.18,-0.760000000000002,-0.0799999999999983,0.600000000000001,2.77,4.92,5.6,6.26,7.65,9.66,11.11,14.19
"102",1,"S","W",19,-8.71,-6.3,-5.52,-4.01,-1.93,-0.5,0.190000000000001,0.890000000000001,3.13,5.35,6.04,6.72,8.11,10.13,11.58,14.62
"113",1,"S","W",20,-8.43,-6.03,-5.26,-3.75,-1.67,-0.23,0.469999999999999,1.18,3.49,5.79,6.49,7.17,8.58,10.6,12.04,15.06
"122",1,"S","W",21,-8.13,-5.76,-4.99,-3.49,-1.41,0.0500000000000007,0.760000000000002,1.48,3.86,6.23,6.94,7.64,9.06,11.08,12.52,15.5
"132",1,"S","W",22,-7.84,-5.49,-4.73,-3.23,-1.14,0.329999999999998,1.05,1.78,4.24,6.68,7.4,8.11,9.54,11.57,13,15.96
"142",1,"S","W",23,-7.54,-5.21,-4.45,-2.96,-0.870000000000001,0.620000000000001,1.35,2.09,4.62,7.13,7.87,8.58,10.03,12.06,13.48,16.41
"152",1,"S","W",24,-7.23,-4.92,-4.17,-2.68,-0.59,0.91,1.65,2.41,5.01,7.59,8.34,9.07,10.53,12.56,13.98,16.89
"162",1,"S","W",25,-6.92,-4.63,-3.88,-2.4,-0.300000000000001,1.21,1.96,2.73,5.4,8.06,8.82,9.56,11.03,13.06,14.48,17.36
